auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date
13,"495063979,24",2025-01-01,0.0,565600,2500000,12.4099,Venda,2015-01-08,2188224802.55,NTN-F 10 anos,3000000,NTN-F,0,2015-01-09
11,"20754706,57",2015-10-01,0.0,22629,2000000,12.7249,Venda,2015-01-08,1834345889.25,LTN 6 meses,2000000,LTN,0,2015-01-09
11,"239833926,68",2017-07-01,0.0,321286,2500000,12.6289,Venda,2015-01-08,1866202751.1,LTN 24 meses,2500000,LTN,0,2015-01-09
12,"299085726,61",2021-03-01,0.0,45648,2000000,0.012,Venda,2015-01-08,13104007063.6,LFT 6 anos,2000000,LFT,0,2015-01-09
13,"256846161,34",2021-01-01,0.0,282796,1026000,12.454,Venda,2015-01-08,931852506.75,NTN-F 7 anos,1500000,NTN-F,0,2015-01-09
11,"41935731,27",2019-01-01,0.0,66943,2560600,12.59,Venda,2015-01-08,1604060670.78,LTN 48 meses,3000000,LTN,0,2015-01-09
16,"888071,49",2035-05-15,0.0,350,31000,6.03,Venda,2015-01-13,78657761.08,NTN-B 20 anos,300000,NTN-B,0,2015-01-14
16,"35303499,16",2023-05-15,0.0,13817,574400,5.93,Venda,2015-01-13,1467636239.68,NTN-B 10 anos,750000,NTN-B,0,2015-01-14
16,"79947022,72",2019-05-15,0.0,31314,175600,5.8897,Venda,2015-01-13,448320150.51,NTN-B 5 anos,750000,NTN-B,0,2015-01-14
16,"104981755,08",2055-05-15,0.0,41454,269000,6.04,Venda,2015-01-13,681239256.38,NTN-B 40 anos,300000,NTN-B,0,2015-01-14
24,"440989661,84",2019-01-01,0.0,699204,3500000,12.4549,Venda,2015-01-15,2207458504.82,LTN 48 meses,3500000,LTN,0,2015-01-16
24,"148000908,16",2017-07-01,0.0,197110,1000000,12.4678,Venda,2015-01-15,750854387.45,LTN 24 meses,1000000,LTN,0,2015-01-16
24,"207396085,75",2016-04-01,0.0,239168,2000000,12.6869,Venda,2015-01-15,1734312999.75,LTN 12 meses,2000000,LTN,0,2015-01-16
37,"204596808,18",2015-10-01,0.0,221969,2000000,12.689,Venda,2015-01-22,1843471910.82,LTN 6 meses,2000000,LTN,0,2015-01-23
37,"6796202,59",2017-07-01,0.0,9000,950000,12.31,Venda,2015-01-22,717376941.0,LTN 24 meses,1000000,LTN,0,2015-01-23
