auction_date,bond_type,auction_type,round,settlement_date,maturity_date,quantity_tendered,average_rate,accepted_rate,quantity_accepted,total_amount_accepted,quantity_to_central_bank,total_amount_to_central_bank,benchmark
2000-01-04,LFT,Venda,1,2000-01-05,2001-01-03,2000000.0,0.002118,0.002118,2000000,1995822000.0,,,
2000-01-11,LFT,Venda,1,2000-01-12,2001-01-10,2500000.0,0.0018453063877825,0.0018453063877825,2500000,2495450000.0,,,
2000-01-11,LTN,Venda,1,2000-01-12,2000-04-12,2500000.0,0.1967617199085803,0.197204,2500000,2390221081.96,,,
2000-01-11,LTN,Venda,1,2000-01-12,2000-08-02,1000000.0,0.2067865114373398,0.207245,1000000,900844296.51,,,
2000-01-18,LFT,Venda,1,2000-01-19,2001-01-17,2000000.0,0.001134,0.001134,2000000,1997760000.0,,,
2000-01-21,LTN,Venda,1,2000-01-24,2001-01-31,1500000.0,0.211801476721456,0.212425482129365,1500000,1234057503.11,,,
2000-01-23,LFT,Venda,1,2000-01-24,2006-02-15,2000000.0,0.0006942844888091,0.0006942844888091,2000000,1991612000.0,,,
2000-01-24,LFT,Venda,1,2000-01-25,2001-01-24,2000000.0,0.0004981990946313,0.0004981990946313,2000000,1999012000.0,,,
2000-01-24,LTN,Venda,1,2000-01-26,2000-04-26,3500000.0,0.1931570871401456,0.19334236744325,3500000,3351181668.51,,,
2000-01-24,LTN,Venda,1,2000-01-26,2000-08-02,1500000.0,0.1991475405507244,0.199468270177485,1500000,1365849891.1,,,
2000-02-01,LFT,Venda,1,2000-02-02,2001-08-08,2000000.0,0.0003332577256551,0.0003332577256551,5237500,5234876012.5,,,
2000-02-01,LTN,Venda,1,2000-02-02,2000-08-30,4000000.0,0.2043551222188419,0.205494049702879,4000000,3594132123.73,,,
2000-02-01,LTN,Venda,1,2000-02-02,2001-01-31,1000000.0,0.2111883508928156,0.211404390438933,1000000,827520449.52,,,
2000-02-08,LTN,Venda,1,2000-02-09,2000-08-30,3500000.0,0.1951880518319816,0.195446080097235,3500000,3169916592.52,,,
2000-02-08,LTN,Venda,1,2000-02-09,2001-01-31,1000000.0,0.2003249363574905,0.200656,1262500,1057912807.15,,,
2000-02-15,LFT,Venda,1,2000-02-16,2001-08-22,3000000.0,0.0002520795327762,0.0002520795327762,3000000,2998863000.0,,,
2000-02-15,LTN,Venda,1,2000-02-16,2000-10-04,3000000.0,0.1993807380731359,0.199568,3000000,2674872047.64,,,
2000-02-15,LTN,Venda,1,2000-02-16,2001-01-31,1000000.0,0.2035458804254399,0.203803,1000000,838857257.2,,,
2000-02-22,LFT,Venda,1,2000-02-23,2001-09-12,4000000.0,0.0002013916969541,0.0002013916969541,3500000,3498915000.0,,,
2000-02-22,LTN,Venda,1,2000-02-23,2000-10-04,3500000.0,0.1961155153140012,0.19626,4000000,3585352714.01,,,
2000-02-22,LTN,Venda,1,2000-02-23,2001-01-31,1500000.0,0.1999960747531887,0.200172,1500000,1266388549.67,,,
2000-02-29,LFT,Venda,1,2000-03-01,2002-02-02,4000000.0,0.0002573353631791,0.0002573353631791,4000000,3998036000.0,,,
2000-02-29,LTN,Venda,1,2000-03-01,2000-10-04,3000000.0,0.1953820525818251,0.195547,3000000,2699565045.94,,,
2000-02-29,LTN,Venda,1,2000-03-01,2001-04-04,1000000.0,0.2002599664979979,0.200556133579002,1000000,821169491.93,,,
2000-03-09,LFT,Venda,1,2000-03-10,2002-03-13,4500000.0,0.0002183706252725,0.0002183706252725,4500000,4498047000.0,,,
